commit	val_f1_macro	epochs	status	description
a6c5fce	0.7367	6	keep	baseline (cls pool, lr=2e-5, bs=16, hidden=256, class_weights, onecycle warmup=0.1)
3f0d830	1.0000	10	keep	exp1: LR 2e-5 -> 1e-5 (slower convergence, val=29 small so 1.0 plausible; test_f1=0.8662)
27939e2	0.7516	7	discard	exp2: drop hidden layer (-> bare linear head); val collapsed, hidden layer matters
9733d55	0.7367	7	discard	exp3: WD 0.01 -> 0; val collapsed, weight_decay matters
29f7299	0.8465	10	discard	exp4: pool cls -> mean; val 0.8465 (test 0.8842 better than exp1's 0.8662, but val rules)
b471599	0.7367	10	discard	exp5: label_smoothing 0 -> 0.1; val 0.7367 (test 0.8989 — best test so far, val rules)
9b8005a	0.7981	9	discard	exp6: dropout 0.1 -> 0.2; val 0.7981 (test 0.8989)
40014be	0.7814	8	discard	exp7: freeze 2 lower encoder layers; val 0.7814 (-14.5M trainable)
d047ab9	0.8530	6	discard	exp8: BS 16 -> 8; val 0.8530 (best epoch=3)
3f96c8d	0.1628	3	crash	exp9: BS 16 -> 32; NaN losses on MPS (numerical instability with bigger batch)
e8a23c7	0.7351	10	discard	exp10: LR 1e-5 -> 5e-6; underfit (final train loss 0.79 vs 0.27 in exp1)
3e1be67	0.7410	7	discard	exp11: warmup_ratio 0.1 -> 0.2; val 0.7410
781863e	0.8005	6	discard	exp12: hidden_dim 256 -> 512; val 0.8005 (TIME_BUDGET cut at 6 epochs)
8e7281b	0.8080	10	discard	exp13: scheduler onecycle -> cosine; val 0.8080
5591f9f	0.5556	3	crash	exp14: pool max; HF Hub network drop in test eval, only 3 epochs (TIME_BUDGET) val 0.5556
cb2fb8e	0.3095	1	crash	exp15: adam betas (0.9, 0.98); system contention -> epoch 1 took 668s, TIME_BUDGET cut after 1 epoch
638d618	0.7262	3	discard	exp16: GELU -> Tanh in classifier; system contention again, only 3 epochs, val 0.7262
350343f	0.2127	2	crash	exp17: USE_CLASS_WEIGHTS=False; system contention (epoch ~170s), only 2 epochs
03e1f50	0.6575	3	crash	exp18: gradient_clip 1.0 -> 0.5; system contention (epoch ~85-123s), only 3 epochs
